---,X,Y,Z
7.050459,1.000000,1.000000,1.000000
7.067126,1.000000,1.000000,1.000000
7.083795,1.000000,1.000000,1.000000
7.100462,1.000000,1.000000,1.000000
7.11713,1.000000,1.000000,1.000000
7.133797,1.000000,1.000000,1.000000
7.150464,1.000000,1.000000,1.000000
7.167131,1.000000,1.000000,1.000000
7.1838,1.000000,1.000000,1.000000
7.200469,1.000000,1.000000,1.000000
7.217136,1.000000,1.000000,1.000000
7.233804,1.000000,1.000000,1.000000
7.250473,1.000000,1.000000,1.000000
7.26714,1.000000,1.000000,1.000000
7.283807,1.000000,1.000000,1.000000
7.300475,1.000000,1.000000,1.000000
7.317142,1.000000,1.000000,1.000000
7.33381,1.000000,1.000000,1.000000
7.350477,1.000000,1.000000,1.000000
7.367145,1.000000,1.000000,1.000000
7.383812,1.000000,1.000000,1.000000
7.400479,1.000000,1.000000,1.000000
7.417146,1.000000,1.000000,1.000000
7.433813,1.000000,1.000000,1.000000
7.45048,1.000000,1.000000,1.000000
7.467147,1.000000,1.000000,1.000000
7.483814,1.000000,1.000000,1.000000
7.500481,1.000000,1.000000,1.000000
7.517148,1.000000,1.000000,1.000000
7.533816,1.000000,1.000000,1.000000
7.550484,1.000000,1.000000,1.000000
7.56717,1.000000,1.000000,1.000000
7.583837,1.000000,1.000000,1.000000
7.600505,1.000000,1.000000,1.000000
7.617173,1.000000,1.000000,1.000000
7.63384,1.000000,1.000000,1.000000
7.650508,1.000000,1.000000,1.000000
7.667176,1.000000,1.000000,1.000000
7.683844,1.000000,1.000000,1.000000
7.700511,1.000000,1.000000,1.000000
7.717179,1.000000,1.000000,1.000000
7.733847,1.000000,1.000000,1.000000
7.750514,1.000000,1.000000,1.000000
7.767181,1.000000,1.000000,1.000000
7.783849,1.000000,1.000000,1.000000
7.800516,1.000000,1.000000,1.000000
7.817183,1.000000,1.000000,1.000000
7.833849,1.000000,1.000000,1.000000
7.850516,1.000000,1.000000,1.000000
7.867185,1.000000,1.000000,1.000000
7.883852,1.000000,1.000000,1.000000
7.900521,1.000000,1.000000,1.000000
7.917188,1.000000,1.000000,1.000000
7.933856,1.000000,1.000000,1.000000
7.950523,1.000000,1.000000,1.000000
7.96719,1.000000,1.000000,1.000000
7.983858,1.000000,1.000000,1.000000
8.000525,1.000000,1.000000,1.000000
8.017193,1.000000,1.000000,1.000000
8.03386,1.000000,1.000000,1.000000
8.050529,1.000000,1.000000,1.000000
8.067197,1.000000,1.000000,1.000000
8.083863,1.000000,1.000000,1.000000
8.100531,1.000000,1.000000,1.000000
8.117198,1.000000,1.000000,1.000000
8.133865,1.000000,1.000000,1.000000
8.150534,1.000000,1.000000,1.000000
8.167201,1.000000,1.000000,1.000000
8.183868,1.000000,1.000000,1.000000
8.200536,1.000000,1.000000,1.000000
8.217203,1.000000,1.000000,1.000000
8.233871,1.000000,1.000000,1.000000
8.250539,1.000000,1.000000,1.000000
8.267207,1.000000,1.000000,1.000000
8.283874,1.000000,1.000000,1.000000
8.300542,1.000000,1.000000,1.000000
8.317209,1.000000,1.000000,1.000000
8.333876,1.000000,1.000000,1.000000
8.350543,1.000000,1.000000,1.000000
8.367213,1.000000,1.000000,1.000000
8.38388,1.000000,1.000000,1.000000
8.400548,1.000000,1.000000,1.000000
8.417215,1.000000,1.000000,1.000000
8.433884,1.000000,1.000000,1.000000
8.450552,1.000000,1.000000,1.000000
8.467219,1.000000,1.000000,1.000000
8.483887,1.000000,1.000000,1.000000
8.500554,1.000000,1.000000,1.000000
8.517222,1.000000,1.000000,1.000000
8.533889,1.000000,1.000000,1.000000
8.550555,1.000000,1.000000,1.000000
8.567223,1.000000,1.000000,1.000000
8.583891,1.000000,1.000000,1.000000
8.600559,1.000000,1.000000,1.000000
8.617227,1.000000,1.000000,1.000000
8.633894,1.000000,1.000000,1.000000
8.650561,1.000000,1.000000,1.000000
8.667229,1.000000,1.000000,1.000000
8.683897,1.000000,1.000000,1.000000
8.700564,1.000000,1.000000,1.000000
8.717232,1.000000,1.000000,1.000000
8.7339,1.000000,1.000000,1.000000
8.750567,1.000000,1.000000,1.000000
8.767235,1.000000,1.000000,1.000000
8.783902,1.000000,1.000000,1.000000
8.80057,1.000000,1.000000,1.000000
8.817237,1.000000,1.000000,1.000000
8.833905,1.000000,1.000000,1.000000
8.850574,1.000000,1.000000,1.000000
8.867241,1.000000,1.000000,1.000000
8.883908,1.000000,1.000000,1.000000
8.900577,1.000000,1.000000,1.000000
8.917244,1.000000,1.000000,1.000000
8.933912,1.000000,1.000000,1.000000
8.950582,1.000000,1.000000,1.000000
8.96725,1.000000,1.000000,1.000000
8.983917,1.000000,1.000000,1.000000
9.000585,0.998417,0.998501,1.000904
9.017252,0.953969,0.956378,1.024947
9.03392,0.910842,0.915420,1.045703
9.05059,0.869017,0.875611,1.063271
9.067257,0.828482,0.836942,1.077747
9.083924,0.789211,0.799394,1.089231
9.100591,0.751188,0.762953,1.097822
9.117258,0.714387,0.727598,1.103620
9.133925,0.678792,0.693316,1.106722
9.150594,0.644380,0.660090,1.107227
9.167261,0.611137,0.627908,1.105234
9.183929,0.579039,0.596749,1.100841
9.200597,0.548068,0.566603,1.094147
9.217264,0.518205,0.537452,1.085251
9.233948,0.489402,0.509252,1.074239
9.250615,0.461694,0.482044,1.061232
9.267283,0.435033,0.455781,1.046318
9.283951,0.409402,0.430452,1.029596
9.300619,0.384777,0.406038,1.011165
9.317287,0.361141,0.382524,0.991123
9.333955,0.338475,0.359896,0.969570
9.350623,0.316758,0.338136,0.946602
9.36729,0.295972,0.317232,0.922323
9.383957,0.276095,0.297164,0.896827
9.400625,0.257106,0.277916,0.870211
9.417292,0.238991,0.259478,0.842580
9.433959,0.221724,0.241828,0.814027
9.450626,0.205289,0.224954,0.784653
9.467293,0.189666,0.208839,0.754558
9.48396,0.174833,0.193467,0.723836
9.500628,0.160771,0.178822,0.692588
9.517296,0.147462,0.164889,0.660914
9.533964,0.134884,0.151652,0.628911
9.550632,0.123020,0.139097,0.596679
9.567299,0.111849,0.127207,0.564316
9.583967,0.101350,0.115964,0.531919
9.600634,0.091506,0.105357,0.499592
9.617301,0.082295,0.095367,0.467428
9.633969,0.073698,0.085979,0.435526
9.650637,0.065695,0.077177,0.403988
9.667305,0.058266,0.068946,0.372908
9.683971,0.051394,0.061271,0.342392
9.70064,0.045055,0.054134,0.312530
9.717307,0.039232,0.047521,0.283426
9.733975,0.033905,0.041416,0.255176
9.750644,0.029054,0.035802,0.227880
9.767312,0.024659,0.030666,0.201637
9.783978,0.020701,0.025991,0.176548
9.800646,0.017160,0.021761,0.152707
9.817313,0.014016,0.017960,0.130215
9.833981,0.011249,0.014572,0.109169
9.850648,0.008840,0.011583,0.089670
9.867315,0.006769,0.008976,0.071814
9.883982,0.005016,0.006736,0.055703
9.90065,0.003561,0.004847,0.041431
9.917316,0.002386,0.003293,0.029101
9.933984,0.001469,0.002058,0.018809
9.950651,0.000792,0.001127,0.010654
9.967319,0.000335,0.000484,0.004736
9.983987,0.000077,0.000114,0.001152
10.000654,0.000000,0.000000,0.000000
