---,X,Y,Z
3.516904,1.000000,0.999330,0.639184
3.533571,1.000000,0.997416,0.643967
3.550239,1.000000,0.994348,0.648707
3.566907,1.000000,0.990215,0.653405
3.583575,1.000000,0.985105,0.658060
3.600243,1.000000,0.979107,0.662674
3.61692,1.000000,0.972306,0.667247
3.633587,1.000000,0.964799,0.671776
3.650255,1.000000,0.956671,0.676264
3.666922,1.000000,0.948012,0.680710
3.683589,1.000000,0.938909,0.685115
3.700257,1.000000,0.929452,0.689479
3.716925,1.000000,0.919729,0.693802
3.733609,1.000000,0.909821,0.698088
3.750277,1.000000,0.899834,0.702330
3.766945,1.000000,0.889849,0.706531
3.783612,1.000000,0.879955,0.710693
3.800279,1.000000,0.870239,0.714814
3.816947,1.000000,0.860792,0.718896
3.833615,1.000000,0.851702,0.722938
3.850282,1.000000,0.843058,0.726941
3.866949,1.000000,0.834949,0.730904
3.883616,1.000000,0.827464,0.734829
3.900284,1.000000,0.820691,0.738715
3.916951,1.000000,0.814720,0.742562
3.933619,1.000000,0.809639,0.746371
3.950287,1.000000,0.805538,0.750142
3.966954,1.000000,0.802505,0.753875
3.983622,1.000000,0.800630,0.757570
4.000289,1.000000,0.800000,0.761227
4.016956,1.000000,0.800674,0.764847
4.033625,1.000000,0.802592,0.768430
4.050292,1.000000,0.805663,0.771975
4.066959,1.000000,0.809800,0.775484
4.083627,1.000000,0.814913,0.778956
4.100295,1.000000,0.820913,0.782392
4.116962,1.000000,0.827712,0.785791
4.133629,1.000000,0.835221,0.789154
4.150298,1.000000,0.843350,0.792482
4.166965,1.000000,0.852011,0.795773
4.183632,1.000000,0.861115,0.799029
4.200299,1.000000,0.870572,0.802250
4.216966,1.000000,0.880295,0.805436
4.233633,1.000000,0.890194,0.808586
4.250301,1.000000,0.900181,0.811702
4.266969,1.000000,0.910166,0.814784
4.283637,1.000000,0.920060,0.817831
4.300304,1.000000,0.929775,0.820843
4.316971,1.000000,0.939222,0.823822
4.333639,1.000000,0.948311,0.826767
4.350306,1.000000,0.956954,0.829678
4.366974,1.000000,0.965063,0.832557
4.383642,1.000000,0.972547,0.835401
